school_name,school_city,school_state,school_type,school_div,school_domain,school_url
Germanna Community College,Fredericksburg,VA,,,germanna.edu,http://germanna.edu
George Mason University,Fairfax,VA,NCAA,div1,gmu.edu,http://gmu.edu
Hampden-Sydney College,Hampden-Sydney,VA,,,hsc.edu,http://hsc.edu
The Institute for the Psychological Sciences,Arlington,VA,,,ipsciences.edu,http://ipsciences.edu
James Madison University,Harrisonburg,VA,NCAA,div1,jmu.edu,http://jmu.edu
Liberty University,Lynchburg,VA,NCAA,div1,liberty.edu,http://liberty.edu
Longwood University,Farmville,VA,NCAA,div1,longwood.edu,http://longwood.edu
Marymount University,Arlington,VA,NCAA,div3,marymount.edu,http://marymount.edu
New River Community College,Dublin,VA,,,nr.edu,http://nr.edu
Norfolk State University,Norfolk,VA,NCAA,div1,nsu.edu,http://nsu.edu
Northern Virginia Community College,Springfield,VA,,,nvcc.edu,http://nvcc.edu
Old Dominion University,Norfolk,VA,NCAA,div1,odu.edu,http://odu.edu
Radford University,Radford,VA,NCAA,div1,radford.edu,http://radford.edu
Randolph College,Lynchburg,VA,NCAA,div3,randolphcollege.edu,http://randolphcollege.edu
Rappahannock Community College,Glenns,VA,,,rappahannock.edu,http://rappahannock.edu
Regent University,Virgina Beach,VA,,,regent.edu,http://regent.edu
Reynolds Community College,Richmond,VA,,,reynolds.edu,http://reynolds.edu
University of Richmond,Richmond,VA,NCAA,div1,richmond.edu,http://richmond.edu
Randolph-Macon College,Ashland,VA,,,rmc.edu,http://rmc.edu
Roanoke College,Salem,VA,NCAA,div3,roanoke.edu,http://roanoke.edu
Sentara College of Health Sciences,Chesapeake,VA,,,sentara.edu,http://sentara.edu
Stratford University,Falls Church,VA,,,stratford.edu,http://stratford.edu
Shenandoah University,Winchester,VA,NCAA,div3,su.edu,http://su.edu
Southern Virgina University,Buena Vista,VA,,,svu.edu,http://svu.edu
Southwest Virgina Community College,Cedar Bluff,VA,,,sw.edu,http://sw.edu
Tidewater Community College,Norfolk,VA,,,tcc.edu,http://tcc.edu
Thomas Nelson Community College,(multiple locations),VA,juco,div1,tncc.edu,http://tncc.edu
University of Mary Washington,Fredericksburg,VA,NCAA,div3,umw.edu,http://umw.edu
University of Virginia's College at Wise,Wise,VA,NCAA,div2,uvawise.edu,http://uvawise.edu
Virginia's Community Colleges,Richmond,VA,,,vccs.edu,http://vccs.edu
Virginia Commonwealth University,Richmond,VA,NCAA,div1,vcu.edu,http://vcu.edu
Virgina Highlands Community College,Abingdon,VA,,,vhcc.edu,http://vhcc.edu
Virginia Institute of Marine Science,Gloucester Point,VA,,,vims.edu,http://vims.edu
University of Virginia,Charlottesville,VA,NCAA,div1,virginia.edu,http://virginia.edu
Virginia Western Community College,Roanoke,VA,,,virginiawestern.edu,http://virginiawestern.edu
Virginia International University,Fairfax,VA,,,viu.edu,http://viu.edu
Virginia State University,Petersburg,VA,NCAA,div2,vsu.edu,http://vsu.edu
Virginia Polytechnic Institute and State University,Blacksburg,VA,,,vt.edu,http://vt.edu
Virginia Union University,Richmond,VA,NCAA,div2,vuu.edu,http://vuu.edu
Virginia Wesleyan College,Norfolk,VA,,,vwc.edu,http://vwc.edu
Washington and Lee University,Lexington,VA,NCAA,div3,wlu.edu,http://wlu.edu
The College of William and Mary,Williamsburg,VA,,,wm.edu,http://wm.edu
Castleton State College of Vermont,Castleton,VT,,,castleton.edu,http://castleton.edu
Champlain College,Burlington,VT,,,champlain.edu,http://champlain.edu
Green Mountain College,Poultney,VT,,,greenmtn.edu,http://greenmtn.edu
Johnson State College,Johnson,VT,,,jsc.edu,http://jsc.edu
Middlebury College,Middlebury,VT,NCAA,div3,middlebury.edu,http://middlebury.edu
New England Culinary Institute,Montpelier,VT,,,neci.edu,http://neci.edu
Norwich University,Northfield,VT,NCAA,div3,norwich.edu,http://norwich.edu
School for International Training,Brattleboro,VT,,,sit.edu,http://sit.edu
Saint Michael's College,Colchester,VT,NCAA,div2,smcvt.edu,http://smcvt.edu
University of Vermont,Burlington,VT,NCAA,div1,uvm.edu,http://uvm.edu
University of Vermont,Burlington,VT,NCAA,div1,uvm.edu,http://uvm.edu
Vermont Law School,South Royalton,VT,,,vermontlaw.edu,http://vermontlaw.edu
Vermont Technical College,Randolph Center,VT,,,vtc.edu,http://vtc.edu
Bennington College,Bennington,VT,,,bennington.edu,http://bennington.edu
Bellevue College,Bellevue,WA,,,bellevuecollege.edu,http://bellevuecollege.edu
Big Bend Community College,Moses Lake,WA,,,bigbend.edu,http://bigbend.edu
Cascadia Community College,Bothell,WA,,,cascadia.edu,http://cascadia.edu
Centralia College,Centralia,WA,,,centralia.edu,http://centralia.edu
Charter College,(multiple locations),WA,,,chartercollege.edu,http://chartercollege.edu
Clark College,Vancouver,WA,,,clark.edu,http://clark.edu
Central Washington University,Ellensburg,WA,NCAA,div2,cwu.edu,http://cwu.edu
DigiPen Institute of Technology,Redmond,WA,,,digipen.edu,http://digipen.edu
Edmonds Community College,Lynnwood,WA,,,edcc.edu,http://edcc.edu
Everett Community College,Everett,WA,,,everettcc.edu,http://everettcc.edu
The Evergreen State College,Olympia,WA,naia,div2,evergreen.edu,http://evergreen.edu
Eastern Washington University,Cheney,WA,NCAA,div1,ewu.edu,http://ewu.edu
Faith Evangelical College and Seminary,Tacoma,WA,,,faithseminary.edu,http://faithseminary.edu
Gonzaga University,Spokane,WA,NCAA,div1,gonzaga.edu,http://gonzaga.edu
Green River Community College,Enumclaw,WA,,,greenriver.edu,http://greenriver.edu
Highline College,Des Moines,WA,,,highline.edu,http://highline.edu
Mukogawa Fort Wright Institute,Spokane,WA,,,mfwi.edu,http://mfwi.edu
North Seattle College,Seattle,WA,,,northseattle.edu,http://northseattle.edu
Olympic College,Bremerton,WA,,,olympic.edu,http://olympic.edu
Peninsula College,Port Angeles,WA,,,pencol.edu,http://pencol.edu
Perry Technical Institute,Yakima,WA,,,perrytech.edu,http://perrytech.edu
Pacific Lutheran University,Tacoma,WA,NCAA,div3,plu.edu,http://plu.edu
Renton Technical College,Renton,WA,,,rtc.edu,http://rtc.edu
Seattle Central College,Seattle,WA,,,seattlecentral.edu,http://seattlecentral.edu
Seattle University,Seattle,WA,NCAA,div1,seattleu.edu,http://seattleu.edu
Shoreline Community College,Shoreline,WA,,,shoreline.edu,http://shoreline.edu
Seattle Institute of Oriental Medicine,Seattle,WA,,,siom.edu,http://siom.edu
Skagit Valley College,Mount Vernon,WA,,,skagit.edu,http://skagit.edu
South Seattle College,Seattle,WA,,,southseattle.edu,http://southseattle.edu
Spokane Falls Community College,Spokane,WA,,,spokanefalls.edu,http://spokanefalls.edu
Seattle Pacific University,Seattle,WA,NCAA,div2,spu.edu,http://spu.edu
Saint Martin's University,Lacey,WA,NCAA,div2,stmartin.edu,http://stmartin.edu
University of Puget Sound,Tacoma,WA,NCAA,div3,pugetsound.edu,http://pugetsound.edu
University of Washington,Seattle,WA,NCAA,div1,uw.edu,http://uw.edu
University of Washington Bothell,Bothell,WA,,,uwb.edu,http://uwb.edu
Walla Walla University,College Place,WA,naia,div2,wallawalla.edu,http://wallawalla.edu
Whitman College,Walla Walla,WA,NCAA,div3,whitman.edu,http://whitman.edu
Whitworth University,Spokane,WA,NCAA,div3,whitworth.edu,http://whitworth.edu
Washington State University,Pullman,WA,NCAA,div1,wsu.edu,http://wsu.edu
Wenatchee Valley College,Wenatchee,WA,,,wvc.edu,http://wvc.edu
Walla Walla Community College,Walla Walla,WA,,,wwcc.edu,http://wwcc.edu
Western Washington University,Bellingham,WA,NCAA,div2,wwu.edu,http://wwu.edu
Yakima Valley Community College,(multiple locations),WA,,,yvcc.edu,http://yvcc.edu
University of Washington,Seattle,WA,NCAA,div1,washington.edu,http://washington.edu
Alverno College,Milwaukee,WI,NCAA,div3,alverno.edu,http://alverno.edu
Carroll University,Waukesha,WI,NCAA,div3,carrollu.edu,http://carrollu.edu
Carthage College,Kenosha,WI,NCAA,div3,carthage.edu,http://carthage.edu
Chippewa Valley Technical College,Eau Claire,WI,,,cvtc.edu,http://cvtc.edu
Edgewood College,Madison,WI,NCAA,div3,edgewood.edu,http://edgewood.edu
Gateway Technical College,Kenosha,WI,,,gtc.edu,http://gtc.edu
The Institute of Beauty and Wellness,Milwaukee,WI,,,ibw.edu,http://ibw.edu
Lawrence University,Appleton,WI,NCAA,div3,lawrence.edu,http://lawrence.edu
Madison Area Technical College,Madison,WI,,,madisoncollege.edu,http://madisoncollege.edu
Marquette University,Milwaukee,WI,NCAA,div1,marquette.edu,http://marquette.edu
Milwaukee Area Technical College,Milwaukee,WI,juco,div1,matc.edu,http://matc.edu
Medical College of Wisconsin,Milwaukee,WI,,,mcw.edu,http://mcw.edu
Milwaukee Institute of Art and Design,Milwaukee,WI,,,miad.edu,http://miad.edu
Moraine Park Technical College,Fond du Lac,WI,,,morainepark.edu,http://morainepark.edu
Milwaukee School of Engineering,Milwaukee,WI,NCAA,div3,msoe.edu,http://msoe.edu
Northland College,Ashland,WI,NCAA,div3,northland.edu,http://northland.edu
Northcentral Technical College,Wausau,WI,,,ntc.edu,http://ntc.edu
Northeast Wisconsin Technical College,Green Bay,WI,,,nwtc.edu,http://nwtc.edu
Silver Lake College of the Holy Family,Manitowoc,WI,,,sl.edu,http://sl.edu
Saint Norbert College,De Pere,WI,,,snc.edu,http://snc.edu
Cardinal Stritch University,Milwaukee,WI,naia,div2,stritch.edu,http://stritch.edu
University of Wisconsin Colleges,Madison,WI,,,uwc.edu,http://uwc.edu
University of Wisconsin Eau Claire,Eau Claire,WI,,,uwec.edu,http://uwec.edu
University of Wisconsin Extension,Madison,WI,,,uwex.edu,http://uwex.edu
University of Wisconsin Green Bay,Green Bay,WI,,,uwgb.edu,http://uwgb.edu
University of Wisconsin La Crosse,La Crosse,WI,,,uwlax.edu,http://uwlax.edu
University of Wisconsin Milwaukee,Milwaukee,WI,,,uwm.edu,http://uwm.edu
University of Wisconsin Oshkosh,Oshkosh,WI,,,uwosh.edu,http://uwosh.edu
University of Wisconsin Platteville,Platteville,WI,,,uwplatt.edu,http://uwplatt.edu
University of Wisconsin River Falls,River Falls,WI,,,uwrf.edu,http://uwrf.edu
University of Wisconsin Stevens Point,Stevens Point,WI,,,uwsp.edu,http://uwsp.edu
University of Wisconsin Superior,Superior,WI,,,uwsuper.edu,http://uwsuper.edu
University of Wisconsin Whitewater,Whitewater,WI,,,uww.edu,http://uww.edu
Viterbo University,La Crosse,WI,naia,div2,viterbo.edu,http://viterbo.edu
Waukesha County Technical College,Pewaukee,WI,,,wctc.edu,http://wctc.edu
"University of Wisconsin, Madison",Madison,WI,,,wisc.edu,http://wisc.edu
Wisconsin Indianhead Technical College,Shell Lake,WI,,,witc.edu,http://witc.edu
Wisconsin Lutheran College,Milwaukee,WI,NCAA,div3,wlc.edu,http://wlc.edu
Wisconsin Technical College System,Madison,WI,,,wtcsystem.edu,http://wtcsystem.edu
Western Technical College,La Crosse,WI,juco,div1,westerntc.edu,http://westerntc.edu
American Public University System,Charles Town,WV,,,apus.edu,http://apus.edu
Concord University,Athens,WV,NCAA,div2,concord.edu,http://concord.edu
Eastern West Virgina Community and Technical College,Moorefield,WV,,,easternwv.edu,http://easternwv.edu
Fairmont State University,Fairmont,WV,NCAA,div2,fairmontstate.edu,http://fairmontstate.edu
Marshall University,Huntington,WV,NCAA,div1,marshall.edu,http://marshall.edu
Ohio Valley University,Vienna,WV,NCAA,div2,ovu.edu,http://ovu.edu
Pierpont Community and Technical College,Fairmont,WV,,,pierpont.edu,http://pierpont.edu
Shepherd University,Shepherdstown,WV,NCAA,div2,shepherd.edu,http://shepherd.edu
University of Charleston,Charleston,WV,NCAA,div2,ucwv.edu,http://ucwv.edu
West Liberty University,Wheeling,WV,NCAA,div2,westliberty.edu,http://westliberty.edu
Wheeling Jesuit University,Wheeling,WV,,,wju.edu,http://wju.edu
West Virginia Northern Community College,Wheeling,WV,,,wvncc.edu,http://wvncc.edu
West Virginia State University,Institute,WV,NCAA,div2,wvstateu.edu,http://wvstateu.edu
West Virginia University,Morgantown,WV,NCAA,div1,wvu.edu,http://wvu.edu
West Virginia Wesleyan College,Buckhannon,WV,NCAA,div2,wvwc.edu,http://wvwc.edu
Casper College,Casper,WY,,,caspercollege.edu,http://caspercollege.edu
Central Wyoming College,Riverton,WY,,,cwc.edu,http://cwc.edu
National Outdoor Leadership School,Lander,WY,,,nols.edu,http://nols.edu
Northwest College,Powell,WY,,,northwestcollege.edu,http://northwestcollege.edu
Northern Wyoming Community College District,Sheridan,WY,,,sheridan.edu,http://sheridan.edu
University of Wyoming,Laramie,WY,NCAA,div1,uwyo.edu,http://uwyo.edu
